denom,odd_steps,even_steps,min_numer,natural_denom,defect,altitude,neg_share,pos_share,is_reduced,reduction_ratio
23,12,19,-2963,-7153,-0.0033858462466369588,-295.41842222495296,0.39998410936104994,0.0,True,311
23,12,19,-3743,-7153,-0.0033858462466369588,-295.36914039661883,0.42632911604139095,0.0,True,311
23,12,19,-3415,-7153,-0.0033858462466369588,-295.3903718912578,0.4520468606579143,0.0,True,311
23,12,19,-4819,-7153,-0.0033858462466369588,-295.3571993383888,0.221005333818416,0.0,True,311
23,12,19,-3091,-7153,-0.0033858462466369588,-295.40373325542674,0.3606756866951444,0.0,True,311
23,2,5,7,23,2.6568542494923806,0.3719806763285024,0.0004181747092117616,43.24553755313432,False,1
25,8,16,7,58975,1.0,0.8851378130860854,86.0895,52.9925,True,2359
25,22,34,-113,-14201190425,-0.0810397886371077,-12.440709851702682,13.9105,0.0,True,568047617
25,4,8,17,175,1.0,0.9823642332656692,0.0,47.0075,True,7
29,1,5,1,29,29.0,0.034482758620689655,36.148246962271266,8.192856935715735,False,1
29,9,17,11,111389,0.7034988491491614,1.3249748497604055,58.38777699984672,91.1030694213712,True,3841
29,8,12,-109,-2465,-0.1715728752538097,-5.852000210213209,5.463976037882021,0.0,True,85
29,41,65,3811,420491770248316829,0.0008388661148153176,1191.5638128288704,0.0,0.40827571349857694,True,14499716215459201
29,41,65,7055,420491770248316829,0.0008388661148153176,1191.8511892092665,0.0,0.2957979294144941,True,14499716215459201
31,12,23,13,7857167,0.7754972507267741,1.2182867777262336,90.2764086508158,100.0,True,253457
31,6,9,-95,-217,-0.1715728752538097,-5.880367068448215,9.723591349184208,0.0,True,7
35,4,8,13,175,1.0,0.9104780960888152,100.0,25.541030846049743,True,5
35,4,8,17,175,1.0,0.9593537342612007,0.0,74.45896915395025,True,5
37,3,6,19,37,1.0,0.9522803430000121,99.99979445184418,48.6559206090803,False,1
37,3,6,29,37,1.0,0.9872833867416072,0.00020554815582194598,26.552094124611514,False,1
37,3,6,23,37,1.0,0.9797803063026612,0.0,24.791985266308192,False,1
41,8,20,1,1042015,2.6568542494923806,0.1586859324601748,100.0,100.0,True,25415
43,3,11,1,2021,9.699208415745595,0.05880920491903081,100.0,100.0,True,47
47,16,28,25,225388735,0.363585661014858,2.566662845635124,49.999489140141115,26.735952886460375,True,4795505
47,7,18,5,259957,2.9439771565477946,0.29518670005419867,50.00030651591533,39.74162751777281,True,5531
47,4,7,85,47,0.363585661014858,2.7342046760106,0.00020434394355202902,3.990019841796919,False,1
47,4,7,89,47,0.363585661014858,2.7299453325031644,0.0,6.301967219144575,False,1
47,4,7,65,47,0.363585661014858,2.697655670502085,0.0,13.463609408812538,False,1
47,4,7,101,47,0.363585661014858,2.744336371356725,0.0,3.4989813454413934,False,1
47,4,7,73,47,0.363585661014858,2.720068429464549,0.0,6.267841780571387,False,1
49,22,38,25,243496847335,0.31101311953924293,2.929041726558211,91.63510962717196,100.0,True,4969323415
49,4,5,-65,-49,-0.621585769994558,-1.6146756095605723,8.364890372828047,0.0,False,1
53,17,29,103,407730749,0.26228393393110006,3.769961093320189,100.0,100.0,True,7693033
55,2,6,7,55,5.0,0.18601398601398603,71.24225,53.66525,False,1
55,4,12,1,4015,5.0,0.06838530900366332,28.757749999999998,21.75875,True,73
55,16,28,41,225388735,0.363585661014858,2.6355276082377257,0.0,24.576,True,4097977
59,6,10,133,295,0.17480210393639917,5.626444734721219,33.53,55.51379310344827,True,5
